t,Open,High,Low,Close,Volume,VolumeWeighted
2020-12-31 18:38:00,716.1,716.14,716.01,716.01,600,716.061667
2020-12-31 18:39:00,715.9,716.11,715.9,716.08,300,716.03
2020-12-31 18:40:00,716.08,716.08,715.68,715.805,796,715.894286
2020-12-31 18:41:00,715.82,715.82,715.61,715.64,406,715.6875
2020-12-31 18:42:00,715.69,715.9,715.69,715.87,526,715.815
2020-12-31 18:43:00,715.955,715.955,715.675,715.93,425,715.87
2020-12-31 18:44:00,715.735,715.735,715.735,715.735,248,715.735
2020-12-31 18:45:00,715.565,715.79,715.565,715.79,857,715.689375
2020-12-31 18:46:00,715.75,715.75,715.75,715.75,206,715.75
2020-12-31 18:47:00,715.9,716.68,715.9,716.68,595,716.4575
2020-12-31 18:48:00,716.98,716.98,716.9,716.9,316,716.953333
2020-12-31 18:49:00,717.01,717.01,717.01,717.01,186,717.01
2020-12-31 18:50:00,716.995,716.995,716.995,716.995,102,716.995
2020-12-31 18:51:00,717.395,717.48,717.2,717.205,573,717.33553
2020-12-31 18:54:00,716.87,716.87,716.87,716.87,110,716.87
2020-12-31 18:55:00,717.49,717.67,717.475,717.53,1315,717.572308
2020-12-31 18:56:00,717.65,717.75,717.09,717.09,2167,717.589764
2020-12-31 18:57:00,717.01,717.01,716.79,716.91,1951,716.892632
2020-12-31 18:58:00,716.98,716.98,716.72,716.72,733,716.813333
2020-12-31 18:59:00,717.05,717.23,716.68,716.68,1362,716.910417
2020-12-31 19:00:00,716.59,716.87,716.4,716.58,1046,716.581111
2020-12-31 19:01:00,716.48,716.66,716.3,716.3,1977,716.470455
2020-12-31 19:02:00,716.8,716.9,716.43,716.9,871,716.757143
2020-12-31 19:03:00,716.79,716.84,716.14,716.14,592,716.6275
2020-12-31 19:04:00,716.19,716.25,715.93,715.93,642,716.026667
2020-12-31 19:05:00,715.99,716.71,715.74,716.71,2443,716.11
2020-12-31 19:06:00,716.84,716.9,716.68,716.75,511,716.7925
2020-12-31 19:07:00,716.8,717.14,716.76,716.99,636,716.898333
2020-12-31 19:08:00,717.13,717.13,716.905,716.905,495,716.99125
2020-12-31 19:09:00,717.025,717.025,717.005,717.005,391,717.018333
2020-12-31 19:11:00,715.91,716.21,715.86,716.21,696,716.008
2020-12-31 19:12:00,716.39,716.41,715.95,715.95,1130,716.10875
2020-12-31 19:13:00,715.895,715.895,714.67,714.67,3810,715.027462
2020-12-31 19:14:00,714.54,714.54,713.87,713.87,3079,714.150909
2020-12-31 19:15:00,713.94,713.94,713.13,713.25,2342,713.417895
2020-12-31 19:16:00,713.28,713.99,713.28,713.94,2837,713.8084
2020-12-31 19:17:00,713.86,713.86,712.83,712.86,1235,713.378182
2020-12-31 19:18:00,712.92,712.92,712.88,712.88,279,712.9
2020-12-31 19:19:00,713.45,713.45,712.72,712.72,1706,713.043571
2020-12-31 19:20:00,713.12,713.12,712.13,712.29,1406,712.53
2020-12-31 19:21:00,711.93,711.955,711.02,711.47,1553,711.545
